ts,asset,dw,regime
2025-11-27T18:00:00+00:00,BNB,0.0002663888,capitulation
2025-11-27T18:00:00+00:00,BTC,0.0002663888,capitulation
2025-11-27T19:00:00+00:00,BNB,0.0003263998,capitulation
2025-11-27T19:00:00+00:00,BTC,0.0003263998,capitulation
2025-11-27T20:00:00+00:00,BNB,5.48394e-05,capitulation
2025-11-27T20:00:00+00:00,BTC,5.48394e-05,capitulation
2025-11-27T21:00:00+00:00,BNB,0.0001397543,capitulation
2025-11-27T21:00:00+00:00,BTC,0.0001397543,capitulation
2025-11-27T22:00:00+00:00,BNB,0.0003978551,capitulation
2025-11-27T22:00:00+00:00,BTC,0.0003978551,capitulation
2025-11-27T23:00:00+00:00,BNB,0.0003593411,capitulation
2025-11-27T23:00:00+00:00,BTC,0.0003593411,capitulation
2025-11-28T00:00:00+00:00,BNB,0.0014042232,capitulation
2025-11-28T00:00:00+00:00,BTC,0.0014042232,capitulation
2025-11-28T01:00:00+00:00,BNB,0.0638006307,chop
2025-11-28T01:00:00+00:00,BTC,0.0638006307,chop
2025-11-28T22:00:00+00:00,BNB,0.08,downtrend
2025-11-28T22:00:00+00:00,BTC,0.08,downtrend
2025-11-28T22:00:00+00:00,ETH,0.08,downtrend
2025-11-28T22:00:00+00:00,XRP,0.08,downtrend
2025-11-28T22:00:00+00:00,SOL,0.08,downtrend
2025-11-30T14:00:00+00:00,BNB,0.08,chop
2025-11-30T14:00:00+00:00,BTC,0.08,chop
2025-11-30T14:00:00+00:00,ETH,0.08,chop
2025-11-30T14:00:00+00:00,XRP,0.08,chop
2025-11-30T14:00:00+00:00,SOL,0.08,chop
2025-12-01T08:00:00+00:00,BNB,0.08,downtrend
2025-12-01T08:00:00+00:00,BTC,0.08,downtrend
2025-12-01T08:00:00+00:00,ETH,0.08,downtrend
2025-12-01T08:00:00+00:00,XRP,0.08,downtrend
2025-12-01T08:00:00+00:00,SOL,0.08,downtrend
2025-12-02T16:00:00+00:00,BNB,0.08,chop
2025-12-02T16:00:00+00:00,BTC,0.08,chop
2025-12-02T16:00:00+00:00,ETH,0.08,chop
2025-12-02T16:00:00+00:00,XRP,0.08,chop
2025-12-02T16:00:00+00:00,SOL,0.08,chop
2025-12-02T23:00:00+00:00,BNB,0.0617502228,capitulation
2025-12-02T23:00:00+00:00,BTC,0.0617502228,capitulation
2025-12-03T00:00:00+00:00,BNB,0.0003103189,capitulation
2025-12-03T00:00:00+00:00,BTC,0.0003103189,capitulation
2025-12-03T01:00:00+00:00,BNB,0.0614399039,chop
2025-12-03T01:00:00+00:00,BTC,0.0614399039,chop
2025-12-09T23:00:00+00:00,BNB,0.08,trend_up
2025-12-09T23:00:00+00:00,BTC,0.08,trend_up
2025-12-09T23:00:00+00:00,ETH,0.08,trend_up
2025-12-09T23:00:00+00:00,XRP,0.08,trend_up
2025-12-09T23:00:00+00:00,SOL,0.08,trend_up
2025-12-10T01:00:00+00:00,BNB,0.08,chop
2025-12-10T01:00:00+00:00,BTC,0.08,chop
2025-12-10T01:00:00+00:00,ETH,0.08,chop
2025-12-10T01:00:00+00:00,XRP,0.08,chop
2025-12-10T01:00:00+00:00,SOL,0.08,chop
2025-12-10T09:00:00+00:00,BNB,0.08,trend_up
2025-12-10T09:00:00+00:00,BTC,0.08,trend_up
2025-12-10T09:00:00+00:00,ETH,0.08,trend_up
2025-12-10T09:00:00+00:00,XRP,0.08,trend_up
2025-12-10T09:00:00+00:00,SOL,0.08,trend_up
2025-12-10T15:00:00+00:00,BNB,0.08,chop
2025-12-10T15:00:00+00:00,BTC,0.08,chop
2025-12-10T15:00:00+00:00,ETH,0.08,chop
2025-12-10T15:00:00+00:00,XRP,0.08,chop
2025-12-10T15:00:00+00:00,SOL,0.08,chop
2025-12-10T23:00:00+00:00,BNB,0.08,trend_up
2025-12-10T23:00:00+00:00,BTC,0.08,trend_up
2025-12-10T23:00:00+00:00,ETH,0.08,trend_up
2025-12-10T23:00:00+00:00,XRP,0.08,trend_up
2025-12-10T23:00:00+00:00,SOL,0.08,trend_up
2025-12-11T01:00:00+00:00,BNB,0.08,chop
2025-12-11T01:00:00+00:00,BTC,0.08,chop
2025-12-11T01:00:00+00:00,ETH,0.08,chop
2025-12-11T01:00:00+00:00,XRP,0.08,chop
2025-12-11T01:00:00+00:00,SOL,0.08,chop
2025-12-12T04:00:00+00:00,BNB,0.08,trend_up
2025-12-12T04:00:00+00:00,BTC,0.08,trend_up
2025-12-12T04:00:00+00:00,ETH,0.08,trend_up
2025-12-12T04:00:00+00:00,XRP,0.08,trend_up
2025-12-12T04:00:00+00:00,SOL,0.08,trend_up
2025-12-12T16:00:00+00:00,BNB,0.08,chop
2025-12-12T16:00:00+00:00,BTC,0.08,chop
2025-12-12T16:00:00+00:00,ETH,0.08,chop
2025-12-12T16:00:00+00:00,XRP,0.08,chop
2025-12-12T16:00:00+00:00,SOL,0.08,chop
2025-12-15T23:00:00+00:00,BNB,0.08,downtrend
2025-12-15T23:00:00+00:00,BTC,0.08,downtrend
2025-12-15T23:00:00+00:00,ETH,0.08,downtrend
2025-12-15T23:00:00+00:00,XRP,0.08,downtrend
2025-12-15T23:00:00+00:00,SOL,0.08,downtrend
2025-12-16T16:00:00+00:00,BNB,0.08,chop
2025-12-16T16:00:00+00:00,BTC,0.08,chop
2025-12-16T16:00:00+00:00,ETH,0.08,chop
2025-12-16T16:00:00+00:00,XRP,0.08,chop
2025-12-16T16:00:00+00:00,SOL,0.08,chop
2025-12-17T11:00:00+00:00,BNB,0.08,downtrend
2025-12-17T11:00:00+00:00,BTC,0.08,downtrend
2025-12-17T11:00:00+00:00,ETH,0.08,downtrend
